sample_id,object_id,label,pred,prob_failure,prob_success
000_000000_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,1,0.30271703004837036,0.6972829103469849
000_000001_muffin,muffin,1,0,0.6562298536300659,0.3437701165676117
000_000002_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,0,0.7878057360649109,0.2121942788362503
000_000003_monster_truck,monster_truck,0,0,0.9617293477058411,0.03827066719532013
000_000004_lime,lime,0,0,0.7604551315307617,0.2395448088645935
000_000005_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.7833641767501831,0.2166358083486557
000_000006_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.8959740400314331,0.1040259599685669
000_000007_lime,lime,0,1,0.3006170988082886,0.6993829011917114
000_000008_lime,lime,1,1,0.14868120849132538,0.8513188362121582
000_000009_red_apple,red_apple,0,0,0.8242170810699463,0.17578288912773132
000_000010_lime,lime,0,1,0.26001474261283875,0.7399852871894836
000_000011_lemon,lemon,1,0,0.5992485284805298,0.4007514715194702
000_000012_lemon,lemon,1,1,0.21941116452217102,0.7805888056755066
000_000013_lime,lime,1,1,0.28160762786865234,0.7183924317359924
000_000014_ponds_dry_skin_cream,ponds_dry_skin_cream,1,1,0.359956294298172,0.6400436758995056
000_000015_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.928026020526886,0.07197397202253342
000_000016_onion,onion,0,0,0.8546649217605591,0.1453351229429245
000_000017_mesh_container,mesh_container,0,0,0.753853440284729,0.24614663422107697
000_000018_potato,potato,0,0,0.9482564926147461,0.05174347758293152
000_000019_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.633164644241333,0.3668353259563446
000_000020_red_apple,red_apple,0,0,0.9503276944160461,0.04967230558395386
000_000021_potato,potato,1,0,0.7474568486213684,0.2525431215763092
000_000022_onion,onion,1,0,0.5027950406074524,0.4972049593925476
000_000023_lime,lime,0,1,0.43527984619140625,0.5647202134132385
000_000024_lime,lime,0,1,0.34519845247268677,0.6548015475273132
000_000025_potato,potato,1,0,0.9084569811820984,0.09154307842254639
000_000026_small_coffe_cup,small_coffe_cup,1,1,0.1059340164065361,0.8940659761428833
000_000027_small_coffe_cup,small_coffe_cup,1,1,0.10593762993812561,0.894062340259552
000_000028_lime,lime,0,1,0.38082537055015564,0.6191745400428772
000_000029_mesh_container,mesh_container,1,0,0.6322745680809021,0.3677254021167755
000_000030_potato,potato,0,0,0.942274272441864,0.057725727558135986
000_000031_muffin,muffin,0,1,0.42184045910835266,0.578159511089325
000_000032_red_apple,red_apple,1,0,0.7082327008247375,0.2917672395706177
000_000033_ponds_dry_skin_cream,ponds_dry_skin_cream,0,0,0.7112607359886169,0.2887391746044159
000_000034_lemon,lemon,0,0,0.7262895703315735,0.2737104296684265
000_000035_small_coffe_cup,small_coffe_cup,1,1,0.10487303882837296,0.8951269388198853
000_000036_potato,potato,1,0,0.9396359324455261,0.06036411598324776
000_000037_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,0,0.7138850092887878,0.28611496090888977
000_000038_mesh_container,mesh_container,0,0,0.9205780029296875,0.0794219970703125
000_000039_red_apple,red_apple,0,0,0.8053526282310486,0.19464731216430664
000_000042_potato,potato,1,0,0.8486161231994629,0.1513838917016983
000_000044_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,1,0.38850682973861694,0.6114931702613831
000_000046_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.8704962730407715,0.1295037418603897
000_000047_lime,lime,1,1,0.2714107930660248,0.7285892367362976
000_000048_potato,potato,0,0,0.9539999961853027,0.046000026166439056
000_000049_muffin,muffin,1,1,0.15293288230895996,0.84706711769104
000_000050_pig,pig,1,1,0.16955117881298065,0.8304488658905029
000_000051_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,0,0.5189749002456665,0.48102501034736633
000_000052_muffin,muffin,0,1,0.431858092546463,0.5681419372558594
000_000053_lime,lime,1,1,0.20716804265975952,0.7928320169448853
000_000054_red_apple,red_apple,0,0,0.7605016231536865,0.23949836194515228
000_000055_lemon,lemon,0,0,0.8689187169075012,0.13108131289482117
000_000056_onion,onion,1,0,0.786831259727478,0.21316877007484436
000_000057_muffin,muffin,1,1,0.47717031836509705,0.5228296518325806
000_000058_red_apple,red_apple,0,0,0.7754588723182678,0.22454112768173218
000_000059_potato,potato,0,0,0.7719865441322327,0.22801348567008972
000_000060_candle_in_glass,candle_in_glass,0,1,0.4908645749092102,0.5091354250907898
000_000061_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,1,1,0.43385785818099976,0.5661421418190002
000_000063_lemon,lemon,0,0,0.8055623769760132,0.19443759322166443
000_000065_red_apple,red_apple,0,0,0.6908461451530457,0.30915388464927673
000_000066_red_apple,red_apple,0,1,0.31556570529937744,0.6844342947006226
000_000067_potato,potato,0,0,0.9286296367645264,0.07137030363082886
000_000068_muffin,muffin,1,0,0.5098650455474854,0.49013492465019226
000_000069_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.7182884812355042,0.28171154856681824
000_000070_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.6219092011451721,0.3780907988548279
000_000071_muffin,muffin,0,0,0.5763576030731201,0.4236423969268799
000_000072_webcam_box,webcam_box,1,1,0.1462954878807068,0.8537045121192932
000_000073_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,0,0,0.7024496793746948,0.297550231218338
000_000074_red_apple,red_apple,1,0,0.6508000493049622,0.34919995069503784
000_000075_red_apple,red_apple,0,0,0.8420566320419312,0.15794332325458527
000_000077_lemon,lemon,0,0,0.6745166182518005,0.3254833221435547
000_000078_lime,lime,1,1,0.2032347023487091,0.7967653274536133
000_000079_red_apple,red_apple,0,0,0.7019994258880615,0.2980005443096161
000_000080_potato,potato,0,0,0.8567820191383362,0.1432180106639862
